fare_id,price,currency_type,payment_method,transfers,agency_id,transfer_duration
741_5000_1_2753,8,EUR,0,0,5,
741_5000_323_1,8,EUR,0,0,5,
741_5000_323_324,8,EUR,0,0,5,
741_5000_323_325,8,EUR,0,0,5,
741_5000_323_326,8,EUR,0,0,5,
741_5000_323_332,8,EUR,0,0,5,
741_5000_323_333,8,EUR,0,0,5,
741_5000_323_337,8,EUR,0,0,5,
741_5000_323_338,8,EUR,0,0,5,
741_5000_323_339,8,EUR,0,0,5,
741_5000_323_340,8,EUR,0,0,5,
741_5000_323_1303,8,EUR,0,0,5,
741_5000_323_1352,8,EUR,0,0,5,
741_5000_323_1910,8,EUR,0,0,5,
741_5000_323_2004,8,EUR,0,0,5,
741_5000_323_2753,8,EUR,0,0,5,
741_5000_323_4026,8,EUR,0,0,5,
741_5000_323_4865,8,EUR,0,0,5,
741_5000_323_7060,8,EUR,0,0,5,
741_5000_323_7073,8,EUR,0,0,5,
741_5000_323_7074,8,EUR,0,0,5,
741_5000_323_7078,8,EUR,0,0,5,
741_5000_323_7090,8,EUR,0,0,5,
741_5000_323_7194,8,EUR,0,0,5,
741_5000_323_7525,8,EUR,0,0,5,
741_5000_323_7973,8,EUR,0,0,5,
741_5000_324_1,8,EUR,0,0,5,
741_5000_324_1910,8,EUR,0,0,5,
741_5000_324_2753,8,EUR,0,0,5,
741_5000_324_4026,8,EUR,0,0,5,
741_5000_325_1,8,EUR,0,0,5,
741_5000_325_324,8,EUR,0,0,5,
741_5000_325_326,8,EUR,0,0,5,
741_5000_325_332,8,EUR,0,0,5,
741_5000_325_333,8,EUR,0,0,5,
741_5000_325_337,8,EUR,0,0,5,
741_5000_325_338,8,EUR,0,0,5,
741_5000_325_339,8,EUR,0,0,5,
741_5000_325_340,8,EUR,0,0,5,
741_5000_325_1303,8,EUR,0,0,5,
741_5000_325_1352,8,EUR,0,0,5,
741_5000_325_1910,8,EUR,0,0,5,
741_5000_325_2004,8,EUR,0,0,5,
741_5000_325_2753,8,EUR,0,0,5,
741_5000_325_4026,8,EUR,0,0,5,
741_5000_325_4865,8,EUR,0,0,5,
741_5000_325_7060,8,EUR,0,0,5,
741_5000_325_7073,8,EUR,0,0,5,
741_5000_325_7074,8,EUR,0,0,5,
741_5000_325_7078,8,EUR,0,0,5,
741_5000_325_7090,8,EUR,0,0,5,
741_5000_325_7194,8,EUR,0,0,5,
741_5000_325_7525,8,EUR,0,0,5,
741_5000_325_7973,8,EUR,0,0,5,
741_5000_326_1,8,EUR,0,0,5,
741_5000_326_324,8,EUR,0,0,5,
741_5000_326_1352,8,EUR,0,0,5,
741_5000_326_1910,8,EUR,0,0,5,
741_5000_326_2753,8,EUR,0,0,5,
741_5000_326_4026,8,EUR,0,0,5,
741_5000_332_1,8,EUR,0,0,5,
741_5000_332_324,8,EUR,0,0,5,
741_5000_332_326,8,EUR,0,0,5,
741_5000_332_333,8,EUR,0,0,5,
741_5000_332_337,8,EUR,0,0,5,
741_5000_332_338,8,EUR,0,0,5,
741_5000_332_339,8,EUR,0,0,5,
741_5000_332_340,8,EUR,0,0,5,
741_5000_332_1352,8,EUR,0,0,5,
741_5000_332_1910,8,EUR,0,0,5,
741_5000_332_2753,8,EUR,0,0,5,
741_5000_332_4026,8,EUR,0,0,5,
741_5000_332_4865,8,EUR,0,0,5,
741_5000_332_7060,8,EUR,0,0,5,
741_5000_332_7073,8,EUR,0,0,5,
741_5000_332_7074,8,EUR,0,0,5,
741_5000_332_7078,8,EUR,0,0,5,
741_5000_332_7090,8,EUR,0,0,5,
741_5000_332_7194,8,EUR,0,0,5,
741_5000_332_7525,8,EUR,0,0,5,
741_5000_332_7973,8,EUR,0,0,5,
741_5000_333_1,8,EUR,0,0,5,
741_5000_333_324,8,EUR,0,0,5,
741_5000_333_326,8,EUR,0,0,5,
741_5000_333_337,8,EUR,0,0,5,
741_5000_333_1352,8,EUR,0,0,5,
741_5000_333_1910,8,EUR,0,0,5,
741_5000_333_2753,8,EUR,0,0,5,
741_5000_333_4026,8,EUR,0,0,5,
741_5000_333_4865,8,EUR,0,0,5,
741_5000_333_7078,8,EUR,0,0,5,
741_5000_333_7194,8,EUR,0,0,5,
741_5000_337_1,8,EUR,0,0,5,
741_5000_337_324,8,EUR,0,0,5,
741_5000_337_326,8,EUR,0,0,5,
741_5000_337_1352,8,EUR,0,0,5,
741_5000_337_1910,8,EUR,0,0,5,
741_5000_337_2753,8,EUR,0,0,5,
741_5000_337_4026,8,EUR,0,0,5,
741_5000_337_4865,8,EUR,0,0,5,
741_5000_337_7078,8,EUR,0,0,5,
741_5000_337_7194,8,EUR,0,0,5,
741_5000_338_1,8,EUR,0,0,5,
741_5000_338_324,8,EUR,0,0,5,
741_5000_338_326,8,EUR,0,0,5,
741_5000_338_333,8,EUR,0,0,5,
741_5000_338_337,8,EUR,0,0,5,
741_5000_338_339,8,EUR,0,0,5,
741_5000_338_340,8,EUR,0,0,5,
741_5000_338_1352,8,EUR,0,0,5,
741_5000_338_1910,8,EUR,0,0,5,
741_5000_338_2753,8,EUR,0,0,5,
741_5000_338_4026,8,EUR,0,0,5,
741_5000_338_4865,8,EUR,0,0,5,
741_5000_338_7060,8,EUR,0,0,5,
741_5000_338_7073,8,EUR,0,0,5,
741_5000_338_7074,8,EUR,0,0,5,
741_5000_338_7078,8,EUR,0,0,5,
741_5000_338_7090,8,EUR,0,0,5,
741_5000_338_7194,8,EUR,0,0,5,
741_5000_338_7525,8,EUR,0,0,5,
741_5000_338_7973,8,EUR,0,0,5,
741_5000_339_1,8,EUR,0,0,5,
741_5000_339_324,8,EUR,0,0,5,
741_5000_339_326,8,EUR,0,0,5,
741_5000_339_333,8,EUR,0,0,5,
741_5000_339_337,8,EUR,0,0,5,
741_5000_339_1352,8,EUR,0,0,5,
741_5000_339_1910,8,EUR,0,0,5,
741_5000_339_2753,8,EUR,0,0,5,
741_5000_339_4026,8,EUR,0,0,5,
741_5000_339_4865,8,EUR,0,0,5,
741_5000_339_7078,8,EUR,0,0,5,
741_5000_339_7194,8,EUR,0,0,5,
741_5000_340_1,8,EUR,0,0,5,
741_5000_340_324,8,EUR,0,0,5,
741_5000_340_326,8,EUR,0,0,5,
741_5000_340_333,8,EUR,0,0,5,
741_5000_340_337,8,EUR,0,0,5,
741_5000_340_339,8,EUR,0,0,5,
741_5000_340_1352,8,EUR,0,0,5,
741_5000_340_1910,8,EUR,0,0,5,
741_5000_340_2753,8,EUR,0,0,5,
741_5000_340_4026,8,EUR,0,0,5,
741_5000_340_4865,8,EUR,0,0,5,
741_5000_340_7060,8,EUR,0,0,5,
741_5000_340_7078,8,EUR,0,0,5,
741_5000_340_7090,8,EUR,0,0,5,
741_5000_340_7194,8,EUR,0,0,5,
741_5000_340_7525,8,EUR,0,0,5,
741_5000_340_7973,8,EUR,0,0,5,
741_5000_1297_1,8,EUR,0,0,5,
741_5000_1297_323,8,EUR,0,0,5,
741_5000_1297_324,8,EUR,0,0,5,
741_5000_1297_325,8,EUR,0,0,5,
741_5000_1297_326,8,EUR,0,0,5,
741_5000_1297_332,8,EUR,0,0,5,
741_5000_1297_333,8,EUR,0,0,5,
741_5000_1297_337,8,EUR,0,0,5,
741_5000_1297_338,8,EUR,0,0,5,
741_5000_1297_339,8,EUR,0,0,5,
741_5000_1297_340,8,EUR,0,0,5,
741_5000_1297_1303,8,EUR,0,0,5,
741_5000_1297_1352,8,EUR,0,0,5,
741_5000_1297_1910,8,EUR,0,0,5,
741_5000_1297_1975,8,EUR,0,0,5,
741_5000_1297_2004,8,EUR,0,0,5,
741_5000_1297_2751,8,EUR,0,0,5,
741_5000_1297_2753,8,EUR,0,0,5,
741_5000_1297_4026,5,EUR,0,0,5,
741_5000_1297_4865,5,EUR,0,0,5,
741_5000_1297_7060,8,EUR,0,0,5,
741_5000_1297_7073,8,EUR,0,0,5,
741_5000_1297_7074,8,EUR,0,0,5,
741_5000_1297_7078,8,EUR,0,0,5,
741_5000_1297_7090,8,EUR,0,0,5,
741_5000_1297_7194,8,EUR,0,0,5,
741_5000_1297_7525,8,EUR,0,0,5,
741_5000_1297_7973,8,EUR,0,0,5,
741_5000_1303_1,8,EUR,0,0,5,
741_5000_1303_324,8,EUR,0,0,5,
741_5000_1303_326,8,EUR,0,0,5,
741_5000_1303_332,8,EUR,0,0,5,
741_5000_1303_333,8,EUR,0,0,5,
741_5000_1303_337,8,EUR,0,0,5,
741_5000_1303_338,8,EUR,0,0,5,
741_5000_1303_339,8,EUR,0,0,5,
741_5000_1303_340,8,EUR,0,0,5,
741_5000_1303_1352,8,EUR,0,0,5,
741_5000_1303_1910,8,EUR,0,0,5,
741_5000_1303_2753,8,EUR,0,0,5,
741_5000_1303_4026,8,EUR,0,0,5,
741_5000_1303_4865,8,EUR,0,0,5,
741_5000_1303_7060,8,EUR,0,0,5,
741_5000_1303_7073,8,EUR,0,0,5,
741_5000_1303_7074,8,EUR,0,0,5,
741_5000_1303_7078,8,EUR,0,0,5,
741_5000_1303_7090,8,EUR,0,0,5,
741_5000_1303_7194,8,EUR,0,0,5,
741_5000_1303_7525,8,EUR,0,0,5,
741_5000_1303_7973,8,EUR,0,0,5,
741_5000_1352_1,8,EUR,0,0,5,
741_5000_1352_324,8,EUR,0,0,5,
741_5000_1352_1910,8,EUR,0,0,5,
741_5000_1352_2753,8,EUR,0,0,5,
741_5000_1352_4026,8,EUR,0,0,5,
741_5000_1910_1,8,EUR,0,0,5,
741_5000_1910_2753,8,EUR,0,0,5,
741_5000_1975_1,8,EUR,0,0,5,
741_5000_1975_323,8,EUR,0,0,5,
741_5000_1975_324,8,EUR,0,0,5,
741_5000_1975_325,8,EUR,0,0,5,
741_5000_1975_326,8,EUR,0,0,5,
741_5000_1975_332,8,EUR,0,0,5,
741_5000_1975_333,8,EUR,0,0,5,
741_5000_1975_337,8,EUR,0,0,5,
741_5000_1975_338,8,EUR,0,0,5,
741_5000_1975_339,8,EUR,0,0,5,
741_5000_1975_340,8,EUR,0,0,5,
