route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
50060042,20820,15277260,NICOSIA,50060042,1
50060041,20820,15277261,NORTH LIMASSOL,50060041,0
50060042,20820,15277262,NICOSIA,50060042,1
50060041,20820,15277263,NORTH LIMASSOL,50060041,0
50020012,20820,15277264,LARNACA,50020012,1
50020011,20820,15277265,AG.NAPA-PARALIMNI,50020011,0
50020012,20820,15277266,LARNACA,50020012,1
50020011,20820,15277267,AG.NAPA-PARALIMNI,50020011,0
50020011,20820,15277268,AG.NAPA-PARALIMNI,50020011,0
50020012,20820,15277269,LARNACA,50020012,1
50020011,20820,15277270,AG.NAPA-PARALIMNI,50020011,0
50020012,20820,15277271,LARNACA,50020012,1
50020011,20820,15277272,AG.NAPA-PARALIMNI,50020011,0
50020012,20820,15277273,LARNACA,50020012,1
50010042,20820,15277274,NICOSIA,50010042,1
50010031,20820,15277275,PARALIMNI,50010031,0
50010012,20820,15277276,NICOSIA,50010012,1
50010031,20820,15277277,PARALIMNI,50010031,0
50070011,20820,15277278,NICOSIA,50070011,0
50070012,20820,15277279,LARNACA,50070012,1
50070011,20820,15277280,NICOSIA,50070011,0
50070012,20820,15277281,LARNACA,50070012,1
50070031,20820,15277282,NICOSIA,50070031,0
50070032,20820,15277283,LARNACA,50070032,1
50010012,20820,15277284,NICOSIA,50010012,1
50010011,20820,15277285,AG.NAPA-PARALIMNI,50010011,0
50010012,20820,15277286,NICOSIA,50010012,1
50010011,20820,15277287,AG.NAPA-PARALIMNI,50010011,0
50010012,20820,15277288,NICOSIA,50010012,1
50010011,20820,15277289,AG.NAPA-PARALIMNI,50010011,0
50060012,20820,15277290,NICOSIA,50060012,1
50060011,20820,15277291,LIMASSOL,50060011,0
50060012,20820,15277292,NICOSIA,50060012,1
50060021,20820,15277293,LIMASSOL,50060021,0
50060011,20820,15277294,LIMASSOL,50060011,0
50060012,20820,15277295,NICOSIA,50060012,1
50060011,20820,15277296,LIMASSOL,50060011,0
50060022,20820,15277297,NICOSIA,50060022,1
50000011,20820,15277298,PAFOS,50000011,0
50000012,20820,15277299,NICOSIA,50000012,1
50000011,20820,15277300,PAFOS,50000011,0
50000012,20820,15277301,NICOSIA,50000012,1
50050011,20820,15277302,PAFOS,50050011,0
50050012,20820,15277303,PARALIMNI,50050012,1
50070031,20820,15277304,NICOSIA,50070031,0
50070032,20820,15277305,LARNACA,50070032,1
50070011,20820,15277306,NICOSIA,50070011,0
50070012,20820,15277307,LARNACA,50070012,1
50070011,20820,15277308,NICOSIA,50070011,0
50070012,20820,15277309,LARNACA,50070012,1
50040011,20820,15277310,LIMASSOL,50040011,0
50040012,20820,15277311,LARNACA,50040012,1
50040011,20820,15277312,LIMASSOL,50040011,0
50040012,20820,15277313,LARNACA,50040012,1
50040012,20820,15277314,LARNACA,50040012,1
50040011,20820,15277315,LIMASSOL,50040011,0
50020012,20820,15277316,LARNACA,50020012,1
50020011,20820,15277317,AG.NAPA-PARALIMNI,50020011,0
50020012,20820,15277318,LARNACA,50020012,1
50020011,20820,15277319,AG.NAPA-PARALIMNI,50020011,0
50060012,20820,15277320,NICOSIA,50060012,1
50060021,20820,15277321,LIMASSOL,50060021,0
50060011,20820,15277322,LIMASSOL,50060011,0
50060012,20820,15277323,NICOSIA,50060012,1
50060011,20820,15277324,LIMASSOL,50060011,0
50060012,20820,15277325,NICOSIA,50060012,1
50030012,20820,15277326,LIMASSOL,50030012,1
50030011,20820,15277327,PAFOS,50030011,0
50030012,20820,15277328,LIMASSOL,50030012,1
50030011,20820,15277329,PAFOS,50030011,0
50030012,20820,15277330,LIMASSOL,50030012,1
50030011,20820,15277331,PAFOS,50030011,0
50040011,20820,15277332,LIMASSOL,50040011,0
50040012,20820,15277333,LARNACA,50040012,1
50040011,20820,15277334,LIMASSOL,50040011,0
50040012,20820,15277335,LARNACA,50040012,1
50010022,20820,15277336,NICOSIA,50010022,1
50010021,20820,15277337,AG.NAPA-PARALIMNI,50010021,0
50010012,20820,15277338,NICOSIA,50010012,1
50010021,20820,15277339,AG.NAPA-PARALIMNI,50010021,0
50000042,20820,15277340,NICOSIA,50000042,1
50000011,20820,15277341,PAFOS,50000011,0
50000012,20820,15277342,NICOSIA,50000012,1
50000011,20820,15277343,PAFOS,50000011,0
50030011,20820,15277344,PAFOS,50030011,0
50030012,20820,15277345,LIMASSOL,50030012,1
50030011,20820,15277346,PAFOS,50030011,0
50030012,20820,15277347,LIMASSOL,50030012,1
50030011,20820,15277348,PAFOS,50030011,0
50030012,20820,15277349,LIMASSOL,50030012,1
50030012,20820,15277350,LIMASSOL,50030012,1
50030011,20820,15277351,PAFOS,50030011,0
50030012,20820,15277352,LIMASSOL,50030012,1
50030011,20820,15277353,PAFOS,50030011,0
50030012,20820,15277354,LIMASSOL,50030012,1
50030011,20820,15277355,PAFOS,50030011,0
50030012,20820,15277356,LIMASSOL,50030012,1
50030011,20820,15277357,PAFOS,50030011,0
50030012,20820,15277358,LIMASSOL,50030012,1
50030011,20820,15277359,PAFOS,50030011,0
50010012,20820,15277360,NICOSIA,50010012,1
50010021,20820,15277361,AG.NAPA-PARALIMNI,50010021,0
50010012,20820,15277362,NICOSIA,50010012,1
50010011,20820,15277363,AG.NAPA-PARALIMNI,50010011,0
50070012,20820,15277364,LARNACA,50070012,1
50070011,20820,15277365,NICOSIA,50070011,0
50070012,20820,15277366,LARNACA,50070012,1
50070011,20820,15277367,NICOSIA,50070011,0
50070012,20820,15277368,LARNACA,50070012,1
50070011,20820,15277369,NICOSIA,50070011,0
50000041,20820,15277370,PAPHOS,50000041,0
50000012,20820,15277371,NICOSIA,50000012,1
50070011,20820,15277372,NICOSIA,50070011,0
50070012,20820,15277373,LARNACA,50070012,1
50070011,20820,15277374,NICOSIA,50070011,0
50070012,20820,15277375,LARNACA,50070012,1
50070011,20820,15277376,NICOSIA,50070011,0
50070012,20820,15277377,LARNACA,50070012,1
50060022,20820,15277378,NICOSIA,50060022,1
50060011,20820,15277379,LIMASSOL,50060011,0
50060012,20820,15277380,NICOSIA,50060012,1
50060011,20820,15277381,LIMASSOL,50060011,0
50060011,20820,15277382,LIMASSOL,50060011,0
50060012,20820,15277383,NICOSIA,50060012,1
50060011,20820,15277384,LIMASSOL,50060011,0
50060012,20820,15277385,NICOSIA,50060012,1
50000011,20820,15277386,PAFOS,50000011,0
50000012,20820,15277387,NICOSIA,50000012,1
50000031,20820,15277388,CUT-PAFOS,50000031,0
50000042,20820,15277389,NICOSIA,50000042,1
50010011,20820,15277390,AG.NAPA-PARALIMNI,50010011,0
50010012,20820,15277391,NICOSIA,50010012,1
50010011,20820,15277392,AG.NAPA-PARALIMNI,50010011,0
50010012,20820,15277393,NICOSIA,50010012,1
50040011,20820,15277394,LIMASSOL,50040011,0
50040012,20820,15277395,LARNACA,50040012,1
50040011,20820,15277396,LIMASSOL,50040011,0
50040012,20820,15277397,LARNACA,50040012,1
50030012,20820,15277398,LIMASSOL,50030012,1
50030011,20820,15277399,PAFOS,50030011,0
50040011,20820,15277400,LIMASSOL,50040011,0
50040012,20820,15277401,LARNACA,50040012,1
50040011,20820,15277402,LIMASSOL,50040011,0
