route_id,service_id,trip_id,trip_headsign,shape_id,direction_id
4050011,20899,15342904,NICOSIA/KOLOKASI,4050011,0
4050012,20899,15342905,KAKOPETRIA,4050012,1
4050041,20899,15342906,Makario Stadium B,4050041,0
740012,20899,15342907,Anthoupoli,740012,1
740011,20899,15342908,Kokkinotrimithia,740011,0
740012,20899,15342909,Anthoupoli,740012,1
740011,20899,15342910,Kokkinotrimithia,740011,0
740012,20899,15342911,Anthoupoli,740012,1
740011,20899,15342912,Kokkinotrimithia,740011,0
740012,20899,15342913,Anthoupoli,740012,1
740011,20899,15342914,Kokkinotrimithia,740011,0
740012,20899,15342915,Anthoupoli,740012,1
740011,20899,15342916,Kokkinotrimithia,740011,0
740012,20899,15342917,Anthoupoli,740012,1
740011,20899,15342918,Kokkinotrimithia,740011,0
740012,20899,15342919,Anthoupoli,740012,1
740011,20899,15342920,Kokkinotrimithia,740011,0
770011,20899,15342921,Astromeritis,770011,0
770012,20899,15342922,Nikitari,770012,1
770011,20899,15342923,Astromeritis,770011,0
770012,20899,15342924,Nikitari,770012,1
770011,20899,15342925,Astromeritis,770011,0
770012,20899,15342926,Nikitari,770012,1
770011,20899,15342927,Astromeritis,770011,0
770012,20899,15342928,Nikitari,770012,1
770011,20899,15342929,Astromeritis,770011,0
770012,20899,15342930,Nikitari,770012,1
520022,20899,15342931,Potamia,520022,1
520021,20899,15342932,Alampra Station,520021,0
650011,20899,15342933,Tamasos Bus St.,650011,0
650012,20899,15342934, Kampi,650012,1
710012,20899,15342935,Mammari,710012,1
710011,20899,15342936,Kokkinotrimithia,710011,0
710012,20899,15342937,Mammari,710012,1
710011,20899,15342938,Kokkinotrimithia,710011,0
710012,20899,15342939,Mammari,710012,1
710011,20899,15342940,Kokkinotrimithia,710011,0
840012,20899,15342941,Galata,840012,1
840011,20899,15342942,Evrychou,840011,0
840012,20899,15342943,Galata,840012,1
840011,20899,15342944,Evrychou,840011,0
840012,20899,15342945,Galata,840012,1
840011,20899,15342946,Evrychou,840011,0
840012,20899,15342947,Galata,840012,1
840011,20899,15342948,Evrychou,840011,0
840012,20899,15342949,Galata,840012,1
840011,20899,15342950,Evrychou,840011,0
